20000000277;AL; ANTONIO CARLOS RAMOS ;1414; PTB ;
20000000050;AL; ANTONIO JORGE GOMES ;2811; PRTB ;
20000000126;AL; ANTONIO NELSON OLIVEIRA DE AZEVEDO ;2311; PPS ;
20000000447;AL; ANTÔNIO LUIZ DA SILVA ;1001; PRB ;
20000000167;AL; ARTHUR CESAR PEREIRA DE LIRA ;1111; PP ;
20000000198;AL; AUDINEIDE SILVA CAVALCANTE ;1166; PP ;
20000000044;AL; AUDIVAL AMÉLIO DA SILVA NETO ;2888; PRTB ;
20000000270;AL; CARLOS ALBERTO DA SILVA ;4333; PV ;
20000000282;AL; CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO ;1533; PMDB ;
20000000051;AL; CICERA MARIA DE OLIVEIRA ;2899; PRTB ;
20000000391;AL; CLIUTON SANTOS ;1022; PRB ;
20000000057;AL; COSMO JOSE CALHEIROS PEDROSA ;2813; PRTB ;
20000000265;AL; CRISTIANE MARQUES SAMPAIO ;7070; PT do B ;
20000000055;AL; DIONE CAVALCANTE TEIXEIRA FARIAS RIBEIRO ;2829; PRTB ;
20000000168;AL; DOMICIO JOSE GREGORIO ARRUDA SILVA ;1100; PP ;
20000000053;AL; EDIELSON BARBOSA LIMA ;2882; PRTB ;
20000000406;AL; EDIERSON GOMES DA SILVA ;3656; PTC ;
20000000157;AL; EDSON MAIA NOBRE DE ABREU ;2505; DEM ;
20000000029;AL; ELIEL JOSE BARBOSA DE LIMA ;5151; PEN ;
20000000268;AL; FABIA FARIAS SANTANA ;1200; PDT ;
20000000273;AL; FERNANDO ANTÔNIO MACEDO HOLANDA ;1599; PMDB ;
20000000158;AL; FLAVIO HENRIQUE CATÃO NOGUEIRA ;2555; DEM ;
20000000283;AL; FRANCISCO DE SOUZA IRMÃO ;1556; PMDB ;
20000000449;AL; GESIEL ANTÔNIO DE OLIVEIRA ;1077; PRB ;
20000000279;AL; GIVALDO DE SÁ GOUVEIA CARIMBÃO ;9090; PROS ;
20000000284;AL; HEMERSON CASADO GAMA ;1510; PMDB ;
20000000054;AL; ILDO RAFAEL DE VASCONCELOS ;2855; PRTB ;
20000000022;AL; IRACI BATISTA DA SILVA ;5001; PSOL ;
20000000123;AL; IRIS DOS SANTOS MELO ;4044; PSB ;
20000000278;AL; IVON BERTO TIBURCIO DE LIMA ;1444; PTB ;
20000000474;AL; JAILTON SANTOS COSTA ;2880; PRTB ;
20000000280;AL; JAMISON RODRIGUES DA SILVA ;3131; PHS ;
20000000469;AL; JESSYCA BEATRIZ PINTO FERREIRA ;4505; PSDB ;
20000000381;AL; JOAO BATISTA DA SILVA ;4553; PSDB ;
20000000285;AL; JOGELSON DOMARQUES PAES DE VERAS ;1511; PMDB ;
20000000369;AL; JORGE VI LAMENHA LINS ;4566; PSDB ;
20000000045;AL; JOSE BARBOSA LIMEIRA ;2812; PRTB ;
20000000043;AL; JOSE CICERO SOARES DE ALMEIDA ;2800; PRTB ;
20000000169;AL; JOSE JULIO DE ALMEIDA FILHO ;1122; PP ;
20000000048;AL; JOSE MARCOS DAS CHAGAS ;2833; PRTB ;
20000000047;AL; JOSE SALUSTIANO DOS SANTOS FILHO ;2828; PRTB ;
20000000046;AL; JOSIVAL FERREIRA DE LIMA ;2870; PRTB ;
20000000159;AL; JOSÉ FRANCISCO DE LIMA ;2500; DEM ;
20000000267;AL; JOSÉ JERÔNIMO DE FARIAS NETO ;2014; PSC ;
20000000010;AL; JOSÉ JÚNIOR NASCIMENTO SILVA ;5050; PSOL ;
20000000127;AL; JOSÉ REGIS BARROS CAVALCANTE ;2323; PPS ;
20000000443;AL; JOÃO CORRÊA DE MELO NETO ;1013; PRB ;
20000000183;AL; JOÃO HENRIQUE HOLANDA CALDAS ;7777; SD ;
